Security,RSVR US Equity,,,,,
Start Date,1/8/2021 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
3/21/2025,7.3,-0.14,-1.88172043,7.3,-0.11,-1.484480432
3/14/2025,7.44,-0.07,-0.932090546,7.41,-0.06,-0.803212851
3/7/2025,7.51,-0.32,-4.086845466,7.47,-0.33,-4.230769231
2/28/2025,7.83,0.13,1.688311688,7.8,0.1,1.298701299
2/21/2025,7.7,-0.34,-4.228855721,7.7,-0.23,-2.90037831
2/14/2025,8.04,0.08,1.005025126,7.93,-0.04,-0.501882058
2/7/2025,7.96,-0.35,-4.21179302,7.97,-0.29,-3.510895884
1/31/2025,8.31,0.16,1.963190184,8.26,0.13,1.59901599
1/24/2025,8.15,0.24,3.034134008,8.13,0.28,3.566878981
1/17/2025,7.91,-0.01,-0.126262626,7.85,-0.06,-0.758533502
1/10/2025,7.92,-0.57,-6.713780919,7.91,-0.51,-6.057007126
1/3/2025,8.49,-0.37,-4.176072235,8.42,-0.36,-4.10022779
12/27/2024,8.86,-0.4,-4.319654428,8.78,-0.35,-3.833515882
12/20/2024,9.26,0.21,2.320441989,9.13,0.12,1.331853496
12/13/2024,9.05,-0.32,-3.415154749,9.01,-0.31,-3.326180258
12/6/2024,9.37,-0.07,-0.741525424,9.32,-0.11,-1.166489926
11/29/2024,9.44,0.01,0.106044539,9.43,0.08,0.855614973
11/22/2024,9.43,0.71,8.142201835,9.35,0.64,7.347876005
11/15/2024,8.72,-0.28,-3.111111111,8.71,-0.26,-2.898550725
11/8/2024,9,0.75,9.090909091,8.97,0.73,8.859223301
11/1/2024,8.25,-0.3,-3.50877193,8.24,-0.31,-3.625730994
10/25/2024,8.55,-0.3,-3.389830508,8.55,-0.25,-2.840909091
10/18/2024,8.85,0.12,1.374570447,8.8,0.2,2.325581395
10/11/2024,8.73,1.14,15.01976285,8.6,1.09,14.51398136
10/4/2024,7.59,-0.24,-3.0651341,7.51,-0.27,-3.470437018
9/27/2024,7.83,0.33,4.4,7.78,0.27,3.595206391
9/20/2024,7.5,-0.22,-2.849740933,7.51,-0.18,-2.340702211
9/13/2024,7.72,0.39,5.320600273,7.69,0.34,4.62585034
9/6/2024,7.33,-0.43,-5.541237113,7.35,-0.39,-5.03875969
8/30/2024,7.76,0.11,1.437908497,7.74,0.11,1.441677588
8/23/2024,7.65,0.3,4.081632653,7.63,0.29,3.950953678
8/16/2024,7.35,0.23,3.230337079,7.34,0.24,3.38028169
8/9/2024,7.12,-0.26,-3.52303523,7.1,-0.28,-3.79403794
8/2/2024,7.38,-1.23,-14.28571429,7.38,-1.22,-14.18604651
7/26/2024,8.61,0.88,11.38421734,8.6,0.87,11.25485123
7/19/2024,7.73,0.2,2.656042497,7.73,0.2,2.656042497
7/12/2024,7.53,0.1,1.34589502,7.53,0.1,1.34589502
7/5/2024,7.43,-0.47,-5.949367089,7.43,-0.46,-5.830164766
6/28/2024,7.9,0.84,11.898017,7.89,0.87,12.39316239
6/21/2024,7.06,-0.15,-2.080443828,7.02,-0.17,-2.364394993
6/14/2024,7.21,-0.61,-7.800511509,7.19,-0.6,-7.702182285
6/7/2024,7.82,-0.22,-2.736318408,7.79,-0.25,-3.109452736
5/31/2024,8.04,0.19,2.420382166,8.04,0.25,3.209242619
5/24/2024,7.85,-0.55,-6.547619048,7.79,-0.62,-7.372175981
5/17/2024,8.4,0.02,0.238663484,8.41,0.04,0.477897252
5/10/2024,8.38,-0.18,-2.102803738,8.37,-0.19,-2.219626168
5/3/2024,8.56,-0.54,-5.934065934,8.56,-0.52,-5.726872247
4/26/2024,9.1,1.1,13.75,9.08,1.08,13.5
4/19/2024,8,0.23,2.96010296,8,0.23,2.96010296
4/12/2024,7.77,-0.26,-3.237858032,7.77,-0.25,-3.117206983
4/5/2024,8.03,0.1,1.261034048,8.02,0.09,1.134930643
3/29/2024,7.93,0.41,5.45212766,7.93,0.45,6.016042781
3/22/2024,7.52,0.02,0.266666667,7.48,0.03,0.402684564
3/15/2024,7.5,0.16,2.179836512,7.45,0.11,1.498637602
3/8/2024,7.34,0.01,0.136425648,7.34,0.04,0.547945205
3/1/2024,7.33,0.28,3.971631206,7.3,0.25,3.546099291
2/23/2024,7.05,0.09,1.293103448,7.05,0.09,1.293103448
2/16/2024,6.96,0.55,8.580343214,6.96,0.55,8.580343214
2/9/2024,6.41,-0.49,-7.101449275,6.41,-0.49,-7.101449275
2/2/2024,6.9,-0.15,-2.127659574,6.9,-0.14,-1.988636364
1/26/2024,7.05,-0.04,-0.564174894,7.04,-0.03,-0.424328147
1/19/2024,7.09,0.06,0.853485064,7.07,0.05,0.712250712
1/12/2024,7.03,0.02,0.285306705,7.02,0.04,0.573065903
1/5/2024,7.01,-0.12,-1.683029453,6.98,-0.14,-1.966292135
12/29/2023,7.13,0.11,1.566951567,7.12,0.11,1.569186876
12/22/2023,7.02,0.2,2.93255132,7.01,0.2,2.936857562
12/15/2023,6.82,0.89,15.0084317,6.81,0.9,15.2284264
12/8/2023,5.93,-0.11,-1.821192053,5.91,-0.11,-1.827242525
12/1/2023,6.04,0.04,0.666666667,6.02,0.02,0.333333333
11/24/2023,6,0,0,6,0,0
11/17/2023,6,0.31,5.448154657,6,0.31,5.448154657
11/10/2023,5.69,-0.26,-4.369747899,5.69,-0.23,-3.885135135
11/3/2023,5.95,0.64,12.0527307,5.92,0.63,11.90926276
10/27/2023,5.31,-0.39,-6.842105263,5.29,-0.39,-6.866197183
10/20/2023,5.7,-0.13,-2.229845626,5.68,-0.12,-2.068965517
