Security,LYV US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
3/21/2025,123.06,3.8,3.186315613,123.01,3.81,3.196308725
3/14/2025,119.26,-8.25,-6.470080778,119.2,-8.27,-6.487801051
3/7/2025,127.51,-15.85,-11.05608259,127.47,-15.83,-11.04675506
2/28/2025,143.36,-6.04,-4.042838019,143.3,-6.17,-4.127918646
2/21/2025,149.4,-4.36,-2.835587929,149.47,-4.31,-2.802705163
2/14/2025,153.76,5.45,3.674735352,153.78,5.49,3.702205139
2/7/2025,148.31,3.63,2.508985347,148.29,3.7,2.558959817
1/31/2025,144.68,3.94,2.799488418,144.59,3.9,2.772052029
1/24/2025,140.74,5.13,3.782906865,140.69,5.05,3.723090534
1/17/2025,135.61,7.1,5.524861878,135.64,7.08,5.507156192
1/10/2025,128.51,-0.98,-0.756815198,128.56,-0.9,-0.695195427
1/3/2025,129.49,-2.36,-1.78991278,129.46,-2.44,-1.849886277
12/27/2024,131.85,-1.43,-1.072929172,131.9,-1.23,-0.923908961
12/20/2024,133.28,-2.67,-1.963957337,133.13,-2.79,-2.052678046
12/13/2024,135.95,-0.81,-0.592278444,135.92,-0.86,-0.628746893
12/6/2024,136.76,-1.49,-1.077757685,136.78,-1.47,-1.063291139
11/29/2024,138.25,-2.04,-1.454130729,138.25,-2.01,-1.433052902
11/22/2024,140.29,11.29,8.751937984,140.26,11.27,8.737111404
11/15/2024,129,6,4.87804878,128.99,5.98,4.861393383
11/8/2024,123,5.85,4.993597951,123.01,5.9,5.037998463
11/1/2024,117.15,0.83,0.713548831,117.11,0.8,0.687817041
10/25/2024,116.32,1.38,1.200626414,116.31,1.39,1.209537069
10/18/2024,114.94,0.13,0.113230555,114.92,0.12,0.104529617
10/11/2024,114.81,3.94,3.553711554,114.8,4,3.610108303
10/4/2024,110.87,2.13,1.958800809,110.8,2.07,1.9037984
