Security,SPOT US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
3/21/2025,599.94,25.15,4.375511056,599.84,25.17,4.379904989
3/14/2025,574.79,42.69,8.022928021,574.67,42.67,8.020676692
3/7/2025,532.1,-75.91,-12.48499202,532,-76.4,-12.55752794
2/28/2025,608.01,0.63,0.103724192,608.4,1.19,0.195978327
2/21/2025,607.38,-30.8,-4.826224576,607.21,-30.47,-4.778258688
2/14/2025,638.18,15.19,2.438241384,637.68,14.59,2.341555795
2/7/2025,622.99,74.44,13.57032176,623.09,74.94,13.6714403
1/31/2025,548.55,38.12,7.468213075,548.15,37.32,7.305757297
1/24/2025,510.43,24.9,5.12841637,510.83,25.31,5.21296754
1/17/2025,485.53,26,5.657954867,485.52,25.53,5.550120655
1/10/2025,459.53,-7.16,-1.534209004,459.99,-6.59,-1.412405161
1/3/2025,466.69,10.21,2.236680687,466.58,10.1,2.212583246
12/27/2024,456.48,-4.4,-0.954695365,456.48,-3.79,-0.823429726
12/20/2024,460.88,-22.43,-4.640913699,460.27,-22.76,-4.711922655
12/13/2024,483.31,-15.32,-3.072418426,483.03,-15.46,-3.101366126
12/6/2024,498.63,21.67,4.543357934,498.49,22.11,4.641252781
11/29/2024,476.96,1.92,0.40417649,476.38,1.35,0.284192577
11/22/2024,475.04,16.72,3.648106127,475.03,16.73,3.650447305
11/15/2024,458.32,57.64,14.38554457,458.3,57.95,14.47483452
11/8/2024,400.68,16.18,4.208062419,400.35,15.55,4.041060291
11/1/2024,384.5,5.34,1.408376411,384.8,5.41,1.425973273
10/25/2024,379.16,0.28,0.073902027,379.39,0.57,0.15046724
10/18/2024,378.88,5.18,1.386138614,378.82,5.03,1.345675379
10/11/2024,373.7,2.25,0.605734285,373.79,2.39,0.643511039
10/4/2024,371.45,2.25,0.609425785,371.4,2.21,0.598607763
