Security,UMG NA Equity,,,,,
Start Date,9/21/2021 0:00,,,,,
End Date,3/26/2025 0:00,,,,,
Period,D,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
3/26/2025,27.65635,-0.16859,-0.605895287,27.64557,-0.15775,-0.567378284
3/25/2025,27.82494,0.19687,0.712572395,27.80332,0.17525,0.634318648
3/24/2025,27.62807,0.06189,0.224514242,27.62807,0.07271,0.263868808
3/21/2025,27.56618,-0.07773,-0.281183089,27.55536,-0.0777,-0.281184928
3/20/2025,27.64391,-0.2159,-0.774951444,27.63306,-0.22675,-0.813896434
3/19/2025,27.85981,-0.04079,-0.146197573,27.85981,-0.02984,-0.106993096
3/18/2025,27.9006,-0.30118,-1.067946775,27.88965,-0.30121,-1.068466872
3/17/2025,28.20178,0.49621,1.791011699,28.19086,0.49617,1.791570875
3/14/2025,27.70557,-2.57988,-8.518546034,27.69469,-2.59076,-8.554470876
3/13/2025,30.28545,0.36755,1.22852874,30.28545,0.37846,1.265456671
3/12/2025,29.9179,0.3961,1.341720356,29.90699,0.39612,1.342285063
3/11/2025,29.5218,0.12918,0.439498078,29.51087,0.12908,0.439319728
3/10/2025,29.39262,-0.5449,-1.820124045,29.38179,-0.54489,-1.820749913
3/7/2025,29.93752,1.88691,6.726805585,29.92668,1.88687,6.729253872
3/6/2025,28.05061,0.20374,0.731644167,28.03981,0.19294,0.692860634
3/5/2025,27.84687,0.36388,1.324018966,27.84687,0.36388,1.324018966
3/4/2025,27.48299,-0.51749,-1.848146889,27.48299,-0.51749,-1.848146889
3/3/2025,28.00048,0.08453,0.302801803,28.00048,0.08453,0.302801803
2/28/2025,27.91595,-0.46394,-1.634749113,27.91595,-0.46394,-1.634749113
2/27/2025,28.37989,-0.45487,-1.57750576,28.37989,-0.45487,-1.57750576
2/26/2025,28.83476,-0.3713,-1.271311502,28.83476,-0.3713,-1.271311502
2/25/2025,29.20606,-0.3278,-1.109912487,29.20606,-0.31733,-1.074842693
2/24/2025,29.53386,0.21653,0.738573397,29.52339,0.20606,0.702860731
2/21/2025,29.31733,-0.2092,-0.708515359,29.31733,-0.2092,-0.708515359
2/20/2025,29.52653,0.17033,0.580218148,29.52653,0.18074,0.615897544
2/19/2025,29.3562,-0.74917,-2.488492917,29.34579,-0.75958,-2.523071465
2/18/2025,30.10537,-0.01229,-0.040806623,30.10537,-0.00181,-0.006011855
2/17/2025,30.11766,-0.23706,-0.78096586,30.10718,-0.21602,-0.712391832
2/14/2025,30.35472,0.49466,1.656594126,30.3232,0.47356,1.586484795
2/13/2025,29.86006,0.20852,0.703234975,29.84964,0.1981,0.668093462
2/12/2025,29.65154,0.82758,2.871153027,29.65154,0.82758,2.871153027
2/11/2025,28.82396,0.29066,1.018669414,28.82396,0.30097,1.055183906
2/10/2025,28.5333,0.68454,2.458062765,28.52299,0.68456,2.459046721
2/7/2025,27.84876,0.46896,1.712795565,27.83843,0.45863,1.67506702
2/6/2025,27.3798,-0.74378,-2.644684638,27.3798,-0.74378,-2.644684638
2/5/2025,28.12358,0.00191,0.006791915,28.12358,0.01229,0.043719089
2/4/2025,28.12167,0.28343,1.018131893,28.11129,0.27305,0.980845053
2/3/2025,27.83824,-0.23324,-0.830878885,27.83824,-0.23324,-0.830878885
1/31/2025,28.07148,-0.08567,-0.304256645,28.07148,-0.07525,-0.267348996
1/30/2025,28.15715,0.86455,3.167708463,28.14673,0.85413,3.129529616
1/29/2025,27.2926,0.1798,0.66315541,27.2926,0.19023,0.701894336
1/28/2025,27.1128,-0.1586,-0.581561636,27.10237,-0.15854,-0.581565326
