Security,WMG US Equity,,,,,
Start Date,7/3/2020 0:00,,,,,
End Date,2/28/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
2/28/2025,33.7,-1.56,-4.424276801,33.7,-1.54,-4.370034052
2/21/2025,35.26,-1.04,-2.865013774,35.24,-1.04,-2.866593164
2/14/2025,36.3,3.58,10.94132029,36.28,3.55,10.84631836
2/7/2025,32.72,0.92,2.893081761,32.73,0.95,2.989301447
1/31/2025,31.8,2,6.711409396,31.78,1.99,6.680093991
1/24/2025,29.8,-0.44,-1.455026455,29.79,-0.42,-1.390268123
1/17/2025,30.24,0.9,3.067484663,30.21,0.88,3.000340948
1/10/2025,29.34,-1.68,-5.415860735,29.33,-1.67,-5.387096774
1/3/2025,31.02,-0.43,-1.367249603,31,-0.45,-1.430842607
12/27/2024,31.45,0.29,0.930680359,31.45,0.29,0.930680359
12/20/2024,31.16,-1.36,-4.18204182,31.16,-1.35,-4.15256844
12/13/2024,32.52,0.11,0.339401419,32.51,0.12,0.370484718
12/6/2024,32.41,-0.11,-0.338253383,32.39,-0.11,-0.338461538
11/29/2024,32.52,0.67,2.103610675,32.5,0.66,2.072864322
11/22/2024,31.85,-1.07,-3.250303767,31.84,-1.09,-3.310051625
11/15/2024,32.92,-0.08,-0.242424242,32.93,-0.03,-0.091019417
11/8/2024,33,0.79,2.452654455,32.96,0.76,2.360248447
11/1/2024,32.21,-0.17,-0.525015442,32.2,-0.18,-0.555898703
10/25/2024,32.38,-0.03,-0.092564023,32.38,-0.04,-0.123380629
10/18/2024,32.41,1.27,4.078355812,32.42,1.28,4.11046885
10/11/2024,31.14,0,0,31.14,0.02,0.064267352
10/4/2024,31.14,-0.06,-0.192307692,31.12,-0.08,-0.256410256
9/27/2024,31.2,0.76,2.496714849,31.2,0.76,2.496714849
9/20/2024,30.44,1.42,4.893177119,30.44,1.43,4.929334712
9/13/2024,29.02,1.42,5.144927536,29.01,1.41,5.108695652
9/6/2024,27.6,-1.01,-3.530234184,27.6,-0.97,-3.395169758
8/30/2024,28.61,-0.49,-1.683848797,28.57,-0.52,-1.787555861
8/23/2024,29.1,0.88,3.118355776,29.09,0.88,3.119461184
8/16/2024,28.22,-0.12,-0.423429781,28.21,-0.13,-0.458715596
8/9/2024,28.34,0.08,0.283085633,28.34,0.08,0.283085633
8/2/2024,28.26,-1.57,-5.263157895,28.26,-1.57,-5.263157895
7/26/2024,29.83,-2.17,-6.78125,29.83,-2.17,-6.78125
7/19/2024,32,1.09,3.526366872,32,1.09,3.526366872
7/12/2024,30.91,0.58,1.912298055,30.91,0.59,1.94591029
7/5/2024,30.33,-0.32,-1.044045677,30.32,-0.3,-0.979751796
