"Date","Price_WMG","Return_WMG","Price_UMG","Return_UMG","Price_SPOT","Return_SPOT","Price_RSVR","Return_RSVR","Price_LYV","Return_LYV","date","rate_week_average","sp500","cd","tech","sp_returns","sp_returns_excess"
2021-11-05,48.19,-2.626793292,30.01931,0.55113471,289.05,-0.120939876,9.88,15.15151515,123.8,22.39248641,"2021-11-05",0.05,4676.092,1661.57,9690.306,1.00819867591362,0.958198675913624
2021-11-12,48.35,0.332019091,31.25577,-1.514599144,280.56,-2.937208095,9.45,-4.352226721,112.32,-9.273021002,"2021-11-12",0.05,4691.952,1604.46,9799.144,1.00339172112097,0.95339172112097
2021-11-19,43.31,-10.42399173,28.27889,-2.003565159,259.55,-7.48859424,8.27,-12.48677249,112.54,0.195868946,"2021-11-19",0.055,4693.265,1669.41,9652.2925,1.00027984088499,0.945279840884988
2021-11-26,42.98,-0.761948742,28.8252,0.542805301,250.89,-3.336544018,7.79,-5.804111245,103.53,-8.006042296,"2021-11-26",0.056,4581.406,1643.55,9433.478,0.976166059235948,0.920166059235948
2021-12-03,41.87,-2.582596557,28.03431,-2.371421199,228.8,-8.804655427,7.61,-2.310654685,100.93,-2.511349367,"2021-12-03",0.062,4637.102,1607.67,9425.93,1.01215696666045,0.950156966660453
2021-12-10,40.81,-2.53164557,28.43899,0.536958543,233.26,1.949300699,7.62,0.131406045,111.87,10.83919548,"2021-12-10",0.054,4678.72,1614.99,9369.598,1.00897500205948,0.954975002059476
2021-12-17,40.33,-1.176182308,27.95027,3.436309754,235.28,0.865986453,7.77,1.968503937,105.14,-6.015911326,"2021-12-17",0.07,4652.048,1546.63,9371.358,0.994299295533821,0.924299295533821
2022-01-07,39.92,-7.54979157,26.8593,1.246350174,223.58,-4.465239499,7.51,-5.056890013,115.86,-3.199933161,"2022-01-07",0.092,4732.752,1597.83,9215.118,0.992986416795001,0.900986416795001
2022-01-14,40.27,0.876753507,26.7719,-3.374854775,218.56,-2.245281331,7.03,-6.391478029,114.81,-0.906266183,"2022-01-14",0.124,4686.318,1545.66,9029.41,0.990188795018205,0.866188795018205
2022-01-21,39.15,-2.78122672,25.48312,-2.311424331,195.53,-10.53715227,6.88,-2.13371266,109.74,-4.415991638,"2022-01-21",0.1725,4497.635,1454.7,8484.235,0.959737474068128,0.787237474068128
2022-01-28,41.26,5.389527458,24.20882,-1.211876372,172.98,-11.53275712,6.12,-11.04651163,105.27,-4.073264079,"2022-01-28",0.196,4374.974,1370.94,8091.372,0.972727666873813,0.776727666873813
2022-02-04,41.98,1.745031508,24.21376,-3.031739859,174.43,0.838247196,6.18,0.980392157,108.36,2.935309205,"2022-02-04",0.216,4525.888,1447.35,8491.286,1.0344948335693,0.818494833569297
2022-02-11,38.31,-8.742258218,23.928,-2.747085928,161.93,-7.166198475,7.02,13.59223301,115.75,6.819859727,"2022-02-11",0.32,4503.062,1464.7,8483.212,0.994956569848834,0.674956569848834
2022-02-18,36.63,-4.385277995,22.3768,-3.21972351,152.27,-5.965540666,7.62,8.547008547,117.44,1.460043197,"2022-02-18",0.394,4415.376,1430.1,8276.494,0.980527472195586,0.586527472195586
2022-02-25,36.51,-0.327600328,21.55125,-1.404684447,151.91,-0.236422145,7.23,-5.118110236,126.04,7.322888283,"2022-02-25",0.3525,4300.9025,1366.14,8026.5925,0.97407389540551,0.62157389540551
2022-03-04,33.02,-9.559024925,19.88532,-7.064698473,135.17,-11.01968271,7.5,3.734439834,114.38,-9.251031419,"2022-03-04",0.344,4351.82,1367.47,8132.318,1.01183879429957,0.667838794299568
2022-03-11,31.79,-3.725015142,22.26318,3.556224952,124.29,-8.049123326,8.24,9.866666667,108.55,-5.097044938,"2022-03-11",0.378,4222.7,1352.6,7590.016,0.970329655178753,0.592329655178753
2022-03-18,37.21,17.0493866,25.1924,2.031484589,144.78,16.48563843,8.96,8.737864078,112.98,4.081068632,"2022-03-18",0.43,4333.642,1403.67,7728.058,1.02627276387146,0.596272763871457
2022-03-25,37.91,1.881214727,25.74642,1.401225018,146.04,0.870285951,10.09,12.61160714,116.3,2.938573199,"2022-03-25",0.518,4498.45,1454.72,8244.242,1.03802990648512,0.520029906485123
2022-04-01,36.98,-2.453178581,26.496,-1.18189379,153.7,5.245138318,9.91,-1.7839445,114.37,-1.65950129,"2022-04-01",0.548,4577.168,1469.63,8423.458,1.01749891629339,0.46949891629339
2022-04-08,37.3,0.865332612,25.88623,-1.166738318,141.28,-8.080676643,8.84,-10.79717457,107.88,-5.674565008,"2022-04-08",0.672,4515.48,1426.96,8098.368,0.986522670786827,0.314522670786827
2022-04-29,29.77,-5.009572431,23.50845,2.905262697,101.65,-7.766990291,9.31,4.022346369,104.88,-0.972523841,"2022-04-29",0.846,4214.942,1312.32,7240.72,0.958865797434709,0.112865797434709
2022-05-06,29.14,-2.116224387,21.96767,-2.63360379,104.68,2.980816527,8.69,-6.659505908,92.51,-11.79443173,"2022-05-06",0.872,4180.248,1238.77,7197.604,0.991768807257609,0.119768807257609
2022-05-13,29.08,-0.205902539,21.24477,2.118482756,106.09,1.34696217,7.27,-16.3406214,91.25,-1.362014917,"2022-05-13",0.934,3976.288,1165.95,6544.314,0.951208636425399,0.0172086364253987
2022-05-20,29.76,2.338376891,21.52523,1.499680061,107.27,1.112263173,7.86,8.115543329,89.28,-2.15890411,"2022-05-20",1.04,3964.538,1125.55,6624.72,0.997044982657192,-0.0429550173428082
2022-05-27,29.72,-0.134408602,22.34106,1.769308033,112.97,5.313694416,7.14,-9.160305344,95.49,6.955645161,"2022-05-27",1.058,4022.008,1175.56,6746.578,1.0144960144158,-0.0435039855841968
2022-06-03,29.42,-1.009421265,22.84741,-1.686197544,112.23,-0.655041161,7.81,9.383753501,95.3,-0.198973715,"2022-06-03",1.1375,4129.685,1211.35,7093.94,1.0267719507271,-0.1107280492729
2022-06-10,27.41,-6.832087016,21.71761,-3.212478229,102.23,-8.910273545,6.69,-14.34058899,92.31,-3.137460651,"2022-06-10",1.264,4063.312,1152.37,6987.75,0.983927829846586,-0.280072170153414
2022-06-17,25.09,-8.46406421,19.52701,1.590422297,99.27,-2.895431869,6.56,-1.943198804,84.7,-8.243960568,"2022-06-17",1.656,3723.342,1050.21,6211.96,0.916331800265399,-0.739668199734601
2022-06-24,26.19,4.384216819,21.094,9.684803086,107,7.786843961,6.4,-2.43902439,86.8,2.479338843,"2022-06-24",1.62,3808.0375,1117.83,6421.21,1.02274717176128,-0.597252828238717
2022-07-01,24.57,-6.18556701,19.88862,-0.84529147,97.52,-8.859813084,6.28,-1.875,83.06,-4.30875576,"2022-07-01",1.71,3830.24,1080.8,6377.08,1.00583043102911,-0.704169568970894
2022-07-08,25.28,2.88970289,21.29478,2.667056865,104.24,6.890894176,6.89,9.713375796,84.36,1.565133638,"2022-07-08",1.8775,3869.6175,1140.18,6523.035,1.01028068737207,-0.867219312627929
2022-07-15,25.74,1.819620253,20.87775,2.158677157,102.33,-1.832310054,6.17,-10.44992743,84.48,0.142247511,"2022-07-15",2.248,3825.71,1132.58,6379.018,0.988653271285857,-1.25934672871414
2022-07-22,27.49,6.798756799,21.91694,-0.277142669,111.65,9.107788527,6.51,5.510534846,91.58,8.404356061,"2022-07-22",2.43,3937.604,1229.27,6755.71,1.02924790431057,-1.40075209568943
2022-07-29,30,9.130592943,22.48948,1.348931846,113.02,1.227048813,6.5,-0.153609831,93.99,2.631578947,"2022-07-29",2.418,4022.844,1264.43,6828.02,1.02164768219455,-1.39635231780545
2022-08-05,31.5,5,21.84254,-2.460095457,118.73,5.05220315,7.05,8.461538462,96.76,2.947122034,"2022-08-05",2.458,4132.424,1300.63,7192.258,1.02723943558338,-1.43076056441662
2022-08-12,30.3,-3.80952381,21.99101,-0.521075535,123.63,4.127010865,6.7,-4.964539007,97.89,1.16783795,"2022-08-12",2.552,4192.038,1317.86,7268.354,1.01442591563692,-1.53757408436308
2022-08-19,28.33,-6.501650165,20.91502,-2.637558358,111.43,-9.868154979,6.29,-6.119402985,94.28,-3.687812851,"2022-08-19",2.616,4277.72,1332.54,7303.112,1.02043922311773,-1.59556077688227
2022-08-26,27.4,-3.282739146,20.34922,-1.309697191,109.31,-1.902539711,6.55,4.13354531,91.8,-2.630462452,"2022-08-26",2.748,4132.854,1306.56,6884.044,0.966134763378622,-1.78186523662138
2022-09-02,26.79,-2.226277372,19.13642,0.868134255,104.42,-4.473515689,6.61,0.916030534,89.64,-2.352941176,"2022-09-02",2.874,3972.576,1246.91,6483.236,0.961218567120929,-1.91278143287907
2022-09-09,28.14,5.039193729,19.67568,2.0520175,110.28,5.611951733,7.06,6.807866868,93.12,3.882195448,"2022-09-09",2.9725,3990.4,1272.86,6438.9475,1.00448676123503,-1.96801323876497
2022-09-16,26.85,-4.584221748,18.66305,-4.740260569,100.34,-9.013420384,6.08,-13.88101983,87.43,-6.110395189,"2022-09-16",3.128,3952.758,1226.91,6390.678,0.990566860465116,-2.13743313953488
2022-09-23,25.04,-6.741154562,17.92495,-0.65217801,89.34,-10.96272673,5.44,-10.52631579,75.27,-13.90826947,"2022-09-23",3.214,3799.394,1161.79,6034.804,0.961200761594816,-2.25279923840518
2022-09-30,23.21,-7.308306709,18.92015,3.528816295,86.3,-3.402731139,4.88,-10.29411765,76.04,1.022983925,"2022-09-30",3.266,3649.492,1130.91,5816.976,0.960545813358657,-2.30545418664134
2022-10-07,22.78,-1.85264972,17.31992,-6.270692788,88.01,1.981460023,4.88,0,78.61,3.379800105,"2022-10-07",3.324,3727.364,1133.37,6026.952,1.02133776426966,-2.30266223573034
2022-10-14,23.22,1.931518876,18.02883,0.852011465,81.79,-7.067378707,4.63,-5.12295082,75.78,-3.600050884,"2022-10-14",3.595,3606.248,1119.27,5497.428,0.967506259115021,-2.62749374088498
2022-10-21,23.85,2.713178295,18.59965,0.654755269,88.7,8.448465583,4.97,7.343412527,79.53,4.948535234,"2022-10-21",3.886,3702.324,1089.81,5611.972,1.02664153990519,-2.85935846009481
2022-10-28,26.2,9.853249476,19.49038,-5.976661055,83.36,-6.020293123,5.71,14.88933602,80.06,0.666415189,"2022-10-28",3.97,3839.082,1099.51,5827.394,1.03693842030033,-2.93306157969967
2022-11-04,25.53,-2.557251908,19.47091,1.57790536,71.05,-14.76727447,5.77,1.050788091,70.72,-11.66625031,"2022-11-04",4.048,3795.642,1083.98,5596.994,0.988684794958795,-3.05931520504121
2022-11-11,28.47,11.51586369,22.6283,7.230372122,83.71,17.81843772,5.76,-0.173310225,76.7,8.455882353,"2022-11-11",4.105,3866.556,1106.12,5788.482,1.01868300540462,-3.08631699459538
2022-11-18,27.38,-3.8285915,21.40998,-0.500379921,76.99,-8.027714729,6.07,5.381944444,66.21,-13.67666232,"2022-11-18",4.144,3963.934,1107.36,6153.7,1.02518468632033,-3.11881531367967
2022-11-25,32.6,19.06501096,23.31464,0.419386086,78.73,2.260033771,6,-1.153212521,68.46,3.398278206,"2022-11-25",4.2175,4001.725,1106.33,6070.33,1.00953371070255,-3.20796628929745
2022-12-02,34.34,5.337423313,23.95718,1.622417252,80.31,2.006858885,6.56,9.333333333,73.92,7.975460123,"2022-12-02",4.256,4029.99,1117.01,6146.798,1.00706320399328,-3.24893679600672
2022-12-09,33.31,-2.999417589,23.98688,0.705238277,78.17,-2.664674387,6.12,-6.707317073,71.77,-2.908549784,"2022-12-09",4.22,3954.382,1078.29,6028.554,0.981238663123234,-3.23876133687677
2022-12-16,33.64,0.990693485,23.59613,-0.768455679,74.74,-4.387872585,6.78,10.78431373,69.37,-3.344015605,"2022-12-16",4.24,3950.728,1053.75,6145.204,0.999075961806421,-3.24092403819358
2022-12-23,35.62,5.885850178,23.72731,0.565144399,77.7,3.96039604,5.7,-15.92920354,70.69,1.902839844,"2022-12-23",4.244,3836.986,998.9,5830.132,0.971209863093587,-3.27279013690641
2022-12-30,35.02,-1.68444694,24.11046,-1.328499845,78.95,1.608751609,5.97,4.736842105,69.74,-1.343895883,"2022-12-30",4.335,3825.3125,998.21,5690.615,0.996957638104491,-3.33804236189551
2023-01-06,37.91,8.252427184,24.99398,0.918254291,83.54,5.813806206,6.43,7.70519263,72.38,3.785488959,"2023-01-06",4.4575,3845.0725,1001.09,5747.575,1.00516559104648,-3.45233440895352
2023-01-13,32.58,-14.05961488,24.81236,-2.884764417,92.06,10.19870721,6.64,3.265940902,74.66,3.150041448,"2023-01-13",4.54,3952.642,1062.72,6045.942,1.02797593543425,-3.51202406456575
2023-01-20,35.57,9.177409454,25.5322,3.172868157,97.91,6.35455138,6.94,4.518072289,75.11,0.602732387,"2023-01-20",4.555,3947.8225,1058.12,6118.6275,0.998780688967025,-3.55621931103297
2023-01-27,35.77,0.562271577,25.29838,-0.515738985,102.24,4.422428761,7.05,1.585014409,80.36,6.989748369,"2023-01-27",4.566,4036.794,1127.16,6440.74,1.02253685417721,-3.54346314582279
2023-02-03,37.04,3.55046128,25.96376,0.977150811,121.17,18.51525822,7.26,2.978723404,79.8,-0.696864111,"2023-02-03",4.562,4105.964,1176.24,6685.85,1.01713488476251,-3.54486511523749
2023-02-10,34.33,-7.316414687,23.90165,-3.257958001,125.16,3.292894281,7.21,-0.688705234,76.41,-4.248120301,"2023-02-10",4.614,4112.98,1153.9,6770.822,1.00170873392947,-3.61229126607053
2023-02-17,33.19,-3.320710749,24.04911,-1.357380874,125.33,0.135826143,6.99,-3.051317614,76.39,-0.026174584,"2023-02-17",4.682,4118.104,1163.4,6828.384,1.00124581203896,-3.68075418796104
2023-02-24,32.2,-2.982826152,23.53036,-1.266231764,117.14,-6.534748265,6.63,-5.150214592,68.78,-9.962036916,"2023-02-24",4.715,3992.6875,1114.47,6557.065,0.969545086768085,-3.74545491323191
2023-03-03,31.81,-1.211180124,23.30594,-1.151901832,123.74,5.634283763,6.51,-1.809954751,72.97,6.091887177,"2023-03-03",4.734,3986.154,1121.45,6620.544,0.998363633517524,-3.73563636648248
2023-03-10,29.75,-6.475950959,23.20508,-0.276414519,121.66,-1.680943915,6.14,-5.683563748,66.65,-8.6610936,"2023-03-10",4.844,3961.342,1086.93,6607.952,0.993775453733097,-3.8502245462669
2023-03-17,30.21,1.546218487,22.81354,-0.561104023,127.09,4.463258261,6.15,0.16286645,66.34,-0.465116279,"2023-03-17",4.586,3908.78,1110.12,6665.178,0.986731264303865,-3.59926873569614
2023-03-24,31.5,4.270109235,24.5535,-0.614201684,128.3,0.952081202,6.08,-1.138211382,65.95,-0.587880615,"2023-03-24",4.608,3962.224,1101.77,6823.15,1.01367280839546,-3.59432719160454
2023-03-31,33.37,5.936507937,25.3302,0.402239987,133.62,4.146531567,6.52,7.236842105,70,6.141015921,"2023-03-31",4.702,4027.35,1140.01,6912.04,1.01643672846361,-3.68556327153639
