Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Mar 25, 2025",10235.0,10297.94,10230.05,10266.17,10266.17,-
"Mar 24, 2025",10147.77,10256.7,10136.68,10236.77,10236.77,-
"Mar 21, 2025",9805.12,9959.42,9746.62,9950.74,9950.74,-
"Mar 20, 2025",9898.35,10064.41,9885.56,9977.24,9977.24,-
"Mar 19, 2025",9943.4,10139.02,9879.56,10017.73,10017.73,-
"Mar 18, 2025",9953.89,9972.73,9824.85,9909.2,9909.2,-
"Mar 17, 2025",9864.65,10122.78,9864.65,10046.51,10046.51,-
"Mar 14, 2025",9715.16,9884.68,9709.47,9871.43,9871.43,-
"Mar 13, 2025",9690.69,9716.74,9476.86,9541.27,9541.27,-
"Mar 12, 2025",9794.82,9841.3,9611.23,9710.43,9710.43,-
"Mar 11, 2025",9570.99,9740.4,9449.37,9583.97,9583.97,-
"Mar 10, 2025",9803.86,9815.14,9448.98,9548.55,9548.55,-
"Mar 7, 2025",9935.88,10073.6,9729.88,10044.29,10044.29,-
"Mar 6, 2025",10064.46,10240.04,9903.81,9934.74,9934.74,-
"Mar 5, 2025",10199.35,10384.28,10081.59,10363.77,10363.77,-
"Mar 4, 2025",10114.16,10393.36,9921.23,10184.93,10184.93,-
"Mar 3, 2025",10565.85,10589.8,10096.82,10168.98,10168.98,-
"Feb 28, 2025",10267.37,10433.8,10179.75,10417.19,10417.19,-
"Feb 27, 2025",10759.22,10791.71,10282.46,10286.07,10286.07,-
"Feb 26, 2025",10650.46,10771.36,10589.33,10669.92,10669.92,-
"Feb 25, 2025",10730.36,10732.32,10489.7,10551.33,10551.33,-
"Feb 24, 2025",10996.63,11010.86,10727.26,10780.51,10780.51,-
"Feb 21, 2025",11391.23,11399.27,10993.41,11000.24,11000.24,-
"Feb 20, 2025",11481.73,11497.74,11269.22,11372.07,11372.07,-
"Feb 19, 2025",11492.53,11551.94,11381.72,11488.6,11488.6,-
"Feb 18, 2025",11429.31,11528.81,11365.72,11527.29,11527.29,-
"Feb 14, 2025",11304.11,11376.71,11272.18,11357.96,11357.96,-
"Feb 13, 2025",11186.7,11321.98,11165.52,11317.84,11317.84,-
"Feb 12, 2025",10950.98,11115.75,10938.35,11112.47,11112.47,-
"Feb 11, 2025",11012.66,11123.41,11012.66,11063.0,11063.0,-
"Feb 10, 2025",11064.02,11105.57,11039.89,11086.36,11086.36,-
"Feb 7, 2025",11121.24,11187.7,10920.53,10943.96,10943.96,-
"Feb 6, 2025",11019.56,11113.64,10987.12,11077.56,11077.56,-
"Feb 5, 2025",10915.43,11051.14,10858.14,11049.86,11049.86,-
"Feb 4, 2025",10809.62,10958.43,10804.54,10940.56,10940.56,-
"Feb 3, 2025",10611.5,10836.05,10598.91,10766.32,10766.32,-
"Jan 31, 2025",10954.11,11077.21,10828.63,10862.95,10862.95,-
"Jan 30, 2025",10790.52,10894.44,10730.81,10842.77,10842.77,-
"Jan 29, 2025",10782.76,10784.46,10625.99,10703.15,10703.15,-
"Jan 28, 2025",10611.41,10790.3,10479.32,10748.63,10748.63,-
"Jan 27, 2025",10536.3,10738.46,10441.24,10574.97,10574.97,-
"Jan 24, 2025",11035.32,11035.32,10906.29,10926.72,10926.72,-
"Jan 23, 2025",10920.75,11037.25,10898.8,11037.01,11037.01,-
"Jan 22, 2025",10951.41,11107.02,10949.49,11048.69,11048.69,-
"Jan 21, 2025",10844.78,10940.24,10743.43,10871.24,10871.24,-
"Jan 17, 2025",10778.11,10779.27,10682.89,10757.3,10757.3,-
"Jan 16, 2025",10623.81,10668.83,10508.49,10541.97,10541.97,-
"Jan 15, 2025",10534.79,10604.87,10487.14,10545.15,10545.15,-
"Jan 14, 2025",10324.42,10370.4,10224.13,10329.97,10329.97,-
"Jan 13, 2025",10160.0,10250.24,10124.75,10243.04,10243.04,-
"Jan 10, 2025",10370.93,10389.01,10246.65,10308.95,10308.95,-
"Jan 8, 2025",10505.99,10538.61,10387.44,10510.69,10510.69,-
"Jan 7, 2025",10766.39,10773.35,10487.28,10547.45,10547.45,-
"Jan 6, 2025",10713.77,10839.54,10690.34,10739.54,10739.54,-
"Jan 3, 2025",10376.85,10560.27,10354.88,10548.05,10548.05,-
"Jan 2, 2025",10362.81,10445.05,10216.16,10309.1,10309.1,-
"Dec 31, 2024",10390.09,10406.32,10233.47,10271.66,10271.66,-
"Dec 30, 2024",10379.06,10430.21,10261.98,10352.03,10352.03,-
"Dec 27, 2024",10597.1,10602.35,10426.5,10535.2,10535.2,-
"Dec 26, 2024",10625.88,10709.75,10605.42,10661.48,10661.48,-
"Dec 24, 2024",10606.13,10692.68,10584.4,10692.21,10692.21,-
"Dec 23, 2024",10516.85,10587.86,10453.35,10572.28,10572.28,-
"Dec 20, 2024",10251.99,10597.54,10251.99,10492.2,10492.2,-
"Dec 19, 2024",10535.32,10577.7,10360.12,10368.58,10368.58,-
"Dec 18, 2024",10934.7,10953.85,10428.38,10473.23,10473.23,-
"Dec 17, 2024",10980.91,11010.99,10901.64,10917.77,10917.77,-
"Dec 16, 2024",10888.48,11046.67,10845.84,11019.47,11019.47,-
"Dec 13, 2024",10929.6,10980.29,10812.75,10895.73,10895.73,-
"Dec 12, 2024",10865.16,10914.05,10846.36,10891.1,10891.1,-
"Dec 11, 2024",10840.86,10987.58,10826.37,10956.07,10956.07,-
