Country,Label,Listeners,Region,,,Group,Total Listeners,% Market Share (in emerging countries)2,,Regions,Region
Afghanistan,Universal Music Group,"452,436,447",ME,,,Universal Music Group,"31,409,434,048",39.49%,,,ME
Afghanistan,Warner Music Group,"464,046,403",ME,,,Warner Music Group,"31,325,075,266",39.39%,,,NA
Afghanistan,Sony Music,"236,825,162",ME,,,Sony Music,"16,794,884,492",21.12%,,,A
Bahrain,Warner Music Group,"521,037,433",ME,,,,,,,,SEA
Bahrain,Universal Music Group,"481,757,527",ME,,,Group,ME  Total Listeners,ME % Market Share,,,O
Bahrain,Sony Music,"260,349,619",ME,,,Universal Music Group,"6,096,585,999",38.68%,,,C
Iraq,Warner Music Group,"542,197,859",ME,,,Warner Music Group,"6,338,382,115",40.22%,,,
Iraq,Universal Music Group,"493,222,618",ME,,,Sony Music,"3,325,566,224",21.10%,,,
Iraq,Sony Music,"260,559,735",ME,,,,,,,,
Israel,Universal Music Group,"438,125,961",ME,,,Group,NA  Total Listeners,NA % Market Share,,,
Israel,Warner Music Group,"482,541,980",ME,,,Universal Music Group,"2,308,414,287",39.37%,,,
Israel,Sony Music,"249,275,153",ME,,,Warner Music Group,"2,325,031,791",39.66%,,,
Jordan,Universal Music Group,"485,613,021",ME,,,Sony Music,"1,229,342,798",20.97%,,,
Jordan,Warner Music Group,"524,489,017",ME,,,,,,,,
Jordan,Sony Music,"274,908,715",ME,,,Group,A  Total Listeners,A % Market Share,,,
Kuwait,Universal Music Group,"511,986,306",ME,,,Universal Music Group,"11,564,521,367",39.88%,,,
Kuwait,Warner Music Group,"496,219,861",ME,,,Warner Music Group,"11,296,129,094",38.95%,,,
Kuwait,Sony Music,"267,514,537",ME,,,Sony Music,"6,140,490,954",21.17%,,,
Lebanon,Warner Music Group,"463,070,576",ME,,,,,,,,
Lebanon,Universal Music Group,"450,279,389",ME,,,Group,SEA  Total Listeners,SEA % Market Share,,,
Lebanon,Sony Music,"250,754,649",ME,,,Universal Music Group,"3,477,976,613",39.00%,,,
Oman,Universal Music Group,"478,774,571",ME,,,Warner Music Group,"3,560,713,674",39.93%,,,
Oman,Warner Music Group,"463,288,832",ME,,,Sony Music,"1,879,022,448",21.07%,,,
Oman,Sony Music,"258,460,510",ME,,,,,,,,
Qatar,Warner Music Group,"507,610,917",ME,,,Group,O  Total Listeners,O % Market Share,,,
Qatar,Universal Music Group,"481,639,962",ME,,,Universal Music Group,"2,444,212,677",38.88%,,,
Qatar,Sony Music,"264,095,171",ME,,,Warner Music Group,"2,521,773,392",40.12%,,,
Saudi Arabia,Warner Music Group,"495,419,439",ME,,,Sony Music,"1,320,195,022",21.00%,,,
Saudi Arabia,Sony Music,"255,073,015",ME,,,,,,,,
Saudi Arabia,Universal Music Group,"488,296,144",ME,,,Group,C  Total Listeners,O % Market Share,,,
United Arab Emirates,Warner Music Group,"514,147,784",ME,,,Universal Music Group,"5,517,723,105",40.27%,,,
United Arab Emirates,Universal Music Group,"495,930,450",ME,,,Warner Music Group,"5,283,045,200",38.56%,,,
United Arab Emirates,Sony Music,"270,182,422",ME,,,Sony Music,"2,900,267,046",21.17%,,,
Yemen,Sony Music,"265,210,249",ME,,,,,,,,
Yemen,Universal Music Group,"454,183,565",ME,,,,,,,,
Yemen,Warner Music Group,"439,610,755",ME,,,,,,,,
Turkey,Warner Music Group,"424,701,259",ME,,,,,,,,
Turkey,Universal Music Group,"384,340,038",ME,,,,,,,,
Turkey,Sony Music,"212,357,287",ME,,,,,,,,
Algeria,Universal Music Group,"456,790,605",NA,,,,,,,,
Algeria,Warner Music Group,"485,789,674",NA,,,,,,,,
Algeria,Sony Music,"253,141,323",NA,,,,,,,,
Egypt,Warner Music Group,"466,546,480",NA,,,,,,,,
Egypt,Universal Music Group,"460,876,954",NA,,,,,,,,
Egypt,Sony Music,"253,157,478",NA,,,,,,,,
Morocco,Warner Music Group,"449,524,431",NA,,,,,,,,
Morocco,Universal Music Group,"474,193,008",NA,,,,,,,,
Morocco,Sony Music,"246,802,704",NA,,,,,,,,
Sudan,Universal Music Group,"459,509,362",NA,,,,,,,,
Sudan,Sony Music,"240,203,709",NA,,,,,,,,
Sudan,Warner Music Group,"473,910,154",NA,,,,,,,,
Tunisia,Warner Music Group,"449,261,052",NA,,,,,,,,
Tunisia,Universal Music Group,"457,044,358",NA,,,,,,,,
Tunisia,Sony Music,"236,037,584",NA,,,,,,,,
Angola,Universal Music Group,"507,813,043",A,,,,,,,,
Angola,Warner Music Group,"507,924,240",A,,,,,,,,
Angola,Sony Music,"269,751,793",A,,,,,,,,
Benin,Universal Music Group,"49,341,383",A,,,,,,,,
Benin,Warner Music Group,"33,290,426",A,,,,,,,,
Benin,Sony Music,"29,235,259",A,,,,,,,,
Botswana,Universal Music Group,"429,000,093",A,,,,,,,,
Botswana,Warner Music Group,"389,034,060",A,,,,,,,,
Botswana,Sony Music,"230,903,008",A,,,,,,,,
Burkina Faso,Universal Music Group,"466,564,032",A,,,,,,,,
Burkina Faso,Warner Music Group,"482,436,256",A,,,,,,,,
Burkina Faso,Sony Music,"249,631,476",A,,,,,,,,
Burundi,Universal Music Group,"272,233,545",A,,,,,,,,
Burundi,Warner Music Group,"350,599,661",A,,,,,,,,
Burundi,Sony Music,"178,241,251",A,,,,,,,,
Cameroon,Sony Music,"220,513,029",A,,,,,,,,
Cameroon,Universal Music Group,"459,769,890",A,,,,,,,,
Cameroon,Warner Music Group,"433,711,637",A,,,,,,,,
Cape Verde,Universal Music Group,"368,301,575",A,,,,,,,,
Cape Verde,Warner Music Group,"363,566,007",A,,,,,,,,
Cape Verde,Sony Music,"188,949,613",A,,,,,,,,
Chad,Universal Music Group,"29,627,216",A,,,,,,,,
Chad,Warner Music Group,"35,080,470",A,,,,,,,,
Chad,Sony Music,"8,189,095",A,,,,,,,,
Djibouti,Warner Music Group,"441,308,222",A,,,,,,,,
Djibouti,Universal Music Group,"435,123,948",A,,,,,,,,
Djibouti,Sony Music,"230,433,546",A,,,,,,,,
Equatorial Guinea,Universal Music Group,"737,207",A,,,,,,,,
Ethiopia,Warner Music Group,"410,460,833",A,,,,,,,,
Ethiopia,Sony Music,"223,982,236",A,,,,,,,,
Ethiopia,Universal Music Group,"396,927,922",A,,,,,,,,
Gabon,Sony Music,"198,914,732",A,,,,,,,,
Gabon,Warner Music Group,"360,545,353",A,,,,,,,,
Gabon,Universal Music Group,"353,503,988",A,,,,,,,,
Gambia,Universal Music Group,"104,411,360",A,,,,,,,,
Gambia,Warner Music Group,"98,685,915",A,,,,,,,,
Gambia,Sony Music,"35,951,321",A,,,,,,,,
Ghana,Universal Music Group,"459,668,400",A,,,,,,,,
Ghana,Warner Music Group,"402,109,597",A,,,,,,,,
Ghana,Sony Music,"234,221,366",A,,,,,,,,
