date,rate_week_average
1/4/2010,0.065
1/8/2010,0.05
1/15/2010,0.0575
1/22/2010,0.07
1/29/2010,0.094
2/5/2010,0.112
2/12/2010,0.1
2/19/2010,0.118
2/26/2010,0.136
3/5/2010,0.156
3/12/2010,0.158
3/19/2010,0.146
3/26/2010,0.154
4/2/2010,0.17
4/9/2010,0.16
4/16/2010,0.158
4/23/2010,0.162
4/30/2010,0.15
5/7/2010,0.154
5/14/2010,0.166
5/21/2010,0.17
5/28/2010,0.155
6/4/2010,0.116
6/11/2010,0.086
6/18/2010,0.124
6/25/2010,0.16
7/2/2010,0.1625
7/9/2010,0.154
7/16/2010,0.16
7/23/2010,0.154
7/30/2010,0.156
8/6/2010,0.152
8/13/2010,0.16
8/20/2010,0.158
8/27/2010,0.14
9/3/2010,0.14
9/10/2010,0.15
9/17/2010,0.164
9/24/2010,0.158
10/1/2010,0.134
10/8/2010,0.13
10/15/2010,0.14
10/22/2010,0.136
10/29/2010,0.128
11/5/2010,0.13
11/12/2010,0.142
11/19/2010,0.15
11/26/2010,0.166
12/3/2010,0.144
12/10/2010,0.14
12/17/2010,0.134
12/24/2010,0.1425
12/31/2010,0.12
1/3/2011,0.144
1/10/2011,0.15
1/17/2011,0.16
1/24/2011,0.156
1/31/2011,0.15
2/7/2011,0.138
2/14/2011,0.114
2/21/2011,0.125
2/28/2011,0.134
3/7/2011,0.096
3/14/2011,0.088
3/21/2011,0.094
3/28/2011,0.094
4/4/2011,0.054
4/11/2011,0.06
4/18/2011,0.0625
4/25/2011,0.056
5/2/2011,0.03
5/9/2011,0.028
5/16/2011,0.046
5/23/2011,0.056
5/30/2011,0.0475
6/6/2011,0.048
6/13/2011,0.048
6/20/2011,0.022
6/27/2011,0.024
7/4/2011,0.0225
7/11/2011,0.02
7/18/2011,0.034
7/25/2011,0.074
8/1/2011,0.042
8/8/2011,0.03
8/15/2011,0.018
8/22/2011,0.012
8/29/2011,0.018
9/5/2011,0.0175
9/12/2011,0.01
9/19/2011,0.008
9/26/2011,0.018
10/3/2011,0.01
10/10/2011,0.02
10/17/2011,0.032
10/24/2011,0.016
10/31/2011,0.01
11/7/2011,0.01
11/14/2011,0.012
11/21/2011,0.02
11/28/2011,0.018
12/5/2011,0.012
12/12/2011,0.006
12/19/2011,0.01
12/26/2011,0.0175
1/2/2012,0.02
1/9/2012,0.022
1/16/2012,0.04
1/23/2012,0.046
1/30/2012,0.066
2/6/2012,0.086
2/13/2012,0.106
2/20/2012,0.09
2/27/2012,0.09
3/5/2012,0.082
3/12/2012,0.086
3/19/2012,0.09
3/26/2012,0.082
4/2/2012,0.078
4/9/2012,0.09
4/16/2012,0.076
4/23/2012,0.088
4/30/2012,0.086
5/7/2012,0.096
5/14/2012,0.094
5/21/2012,0.092
5/28/2012,0.075
6/4/2012,0.086
6/11/2012,0.098
6/18/2012,0.092
6/25/2012,0.094
7/2/2012,0.0875
7/9/2012,0.096
7/16/2012,0.094
7/23/2012,0.104
7/30/2012,0.1
8/6/2012,0.106
8/13/2012,0.098
8/20/2012,0.108
8/27/2012,0.104
9/3/2012,0.1075
9/10/2012,0.102
9/17/2012,0.108
9/24/2012,0.104
10/1/2012,0.096
10/8/2012,0.1025
10/15/2012,0.102
10/22/2012,0.11
10/29/2012,0.1075
11/5/2012,0.1
11/12/2012,0.0875
11/19/2012,0.0925
11/26/2012,0.094
12/3/2012,0.098
12/10/2012,0.068
12/17/2012,0.056
12/24/2012,0.06
12/31/2012,0.05
1/1/2013,0.075
1/8/2013,0.068
1/15/2013,0.08
1/22/2013,0.078
1/29/2013,0.068
2/5/2013,0.074
2/12/2013,0.1
2/19/2013,0.124
2/26/2013,0.116
3/5/2013,0.096
3/12/2013,0.09
3/19/2013,0.072
3/26/2013,0.0775
4/2/2013,0.068
4/9/2013,0.064
4/16/2013,0.054
4/23/2013,0.052
4/30/2013,0.05
5/7/2013,0.042
5/14/2013,0.042
5/21/2013,0.0425
5/28/2013,0.046
6/4/2013,0.046
6/11/2013,0.05
6/18/2013,0.052
6/25/2013,0.052
7/2/2013,0.0425
7/9/2013,0.04
7/16/2013,0.032
7/23/2013,0.026
7/30/2013,0.042
8/6/2013,0.05
8/13/2013,0.054
8/20/2013,0.036
8/27/2013,0.0325
9/3/2013,0.02
9/10/2013,0.016
9/17/2013,0.012
9/24/2013,0.016
10/1/2013,0.026
10/8/2013,0.0575
10/15/2013,0.074
10/22/2013,0.038
10/29/2013,0.042
11/5/2013,0.0525
11/12/2013,0.082
11/19/2013,0.076
11/26/2013,0.0625
12/3/2013,0.062
12/10/2013,0.07
12/17/2013,0.068
12/24/2013,0.07
12/31/2013,0.07
1/1/2014,0.0575
1/8/2014,0.042
1/15/2014,0.0425
1/22/2014,0.044
1/29/2014,0.038
2/5/2014,0.068
2/12/2014,0.0375
2/19/2014,0.052
2/26/2014,0.048
3/5/2014,0.054
3/12/2014,0.052
3/19/2014,0.058
3/26/2014,0.044
4/2/2014,0.026
4/9/2014,0.04
4/16/2014,0.035
4/23/2014,0.022
4/30/2014,0.028
5/7/2014,0.03
5/14/2014,0.03
5/21/2014,0.0375
5/28/2014,0.04
6/4/2014,0.04
6/11/2014,0.04
6/18/2014,0.026
6/25/2014,0.032
7/2/2014,0.025
7/9/2014,0.024
7/16/2014,0.024
7/23/2014,0.03
7/30/2014,0.034
8/6/2014,0.032
8/13/2014,0.034
8/20/2014,0.032
8/27/2014,0.0325
9/3/2014,0.026
9/10/2014,0.02
9/17/2014,0.016
9/24/2014,0.016
10/1/2014,0.016
10/8/2014,0.0125
10/15/2014,0.022
10/22/2014,0.016
10/29/2014,0.02
11/5/2014,0.0275
11/12/2014,0.022
11/19/2014,0.016
11/26/2014,0.025
12/3/2014,0.024
12/10/2014,0.03
12/17/2014,0.038
12/24/2014,0.02
12/31/2014,0.04
1/1/2015,0.0275
1/8/2015,0.03
1/15/2015,0.03
1/22/2015,0.024
1/29/2015,0.02
2/5/2015,0.014
2/12/2015,0.0175
2/19/2015,0.02
2/26/2015,0.02
3/5/2015,0.02
3/12/2015,0.038
3/19/2015,0.026
3/26/2015,0.034
4/2/2015,0.024
4/9/2015,0.024
4/16/2015,0.024
4/23/2015,0.022
4/30/2015,0.014
5/7/2015,0.018
5/14/2015,0.018
5/21/2015,0.0175
5/28/2015,0.014
6/4/2015,0.022
6/11/2015,0.014
6/18/2015,0.01
6/25/2015,0.012
7/2/2015,0.0175
7/9/2015,0.018
7/16/2015,0.032
7/23/2015,0.046
7/30/2015,0.078
8/6/2015,0.084
8/13/2015,0.082
8/20/2015,0.048
8/27/2015,0.052
9/3/2015,0.0325
9/10/2015,0.052
9/17/2015,0.002
9/24/2015,0.002
10/1/2015,-0.002
10/8/2015,0.0025
10/15/2015,0.014
10/22/2015,0.02
10/29/2015,0.068
11/5/2015,0.1
11/12/2015,0.136
11/19/2015,0.142
11/26/2015,0.2025
12/3/2015,0.25
12/10/2015,0.248
12/17/2015,0.214
12/24/2015,0.2175
12/31/2015,0.16
1/1/2016,0.2075
1/8/2016,0.218
1/15/2016,0.2575
1/22/2016,0.316
1/29/2016,0.326
2/5/2016,0.3
2/12/2016,0.2975
2/19/2016,0.32
2/26/2016,0.32
3/4/2016,0.3
3/11/2016,0.32
3/18/2016,0.298
3/25/2016,0.2325
4/1/2016,0.23
4/8/2016,0.226
4/15/2016,0.222
4/22/2016,0.236
4/29/2016,0.208
5/6/2016,0.24
